"fed_2012","cog2","LIBELLE","age","sex","licences","value.pop","ratio","lib_federation","id"
103,"44109","NANTES","0_4","all",0,16471,0,"Fédération Française de badminton",83
103,"44109","NANTES","all","f",456,150160,3.03676078849227,"Fédération Française de badminton",84
103,"44109","NANTES","75_99","all",0,22648,0,"Fédération Française de badminton",85
103,"44109","NANTES","5_9","all",12,14424,0.831946755407654,"Fédération Française de badminton",86
103,"44109","NANTES","15_19","h",84,10134,8.28892835997632,"Fédération Française de badminton",87
103,"44109","NANTES","5_9","f",4,7196,0.555864369093941,"Fédération Française de badminton",88
103,"44109","NANTES","15_19","all",133,21451,6.20017714791851,"Fédération Française de badminton",89
103,"44109","NANTES","10_14","all",130,13768,9.44218477629285,"Fédération Française de badminton",90
105,"44109","NANTES","60_74","f",7,16920,0.41371158392435,"Fédération Française de basketball",91
105,"44109","NANTES","20_29","all",479,61559,7.78115304017284,"Fédération Française de basketball",92
105,"44109","NANTES","all","h",1565,134799,11.6098784115609,"Fédération Française de basketball",93
105,"44109","NANTES","0_4","h",0,8470,0,"Fédération Française de basketball",94
105,"44109","NANTES","5_9","h",251,7228,34.7260653016049,"Fédération Française de basketball",95
105,"44109","NANTES","0_4","f",0,8001,0,"Fédération Française de basketball",96
105,"44109","NANTES","20_29","f",157,31181,5.03511753952728,"Fédération Française de basketball",97
105,"44109","NANTES","5_9","f",81,7196,11.2562534741523,"Fédération Française de basketball",98
105,"44109","NANTES","10_14","f",199,6837,29.1063331870704,"Fédération Française de basketball",99
105,"44109","NANTES","45_59","f",40,25920,1.54320987654321,"Fédération Française de basketball",100
105,"44109","NANTES","15_19","f",141,11317,12.4591322788725,"Fédération Française de basketball",101
105,"44109","NANTES","all","all",2271,284959,7.96956755182324,"Fédération Française de basketball",102
105,"44109","NANTES","15_19","all",371,21451,17.2952309915622,"Fédération Française de basketball",103
105,"44109","NANTES","75_99","all",9,22648,0.397386082656305,"Fédération Française de basketball",104
105,"44109","NANTES","75_99","f",1,15255,0.0655522779416585,"Fédération Française de basketball",105
105,"44109","NANTES","75_99","h",8,7393,1.08210469362911,"Fédération Française de basketball",106
105,"44109","NANTES","0_4","all",0,16471,0,"Fédération Française de basketball",107
105,"44109","NANTES","45_59","all",138,48534,2.84336753616022,"Fédération Française de basketball",108
105,"44109","NANTES","30_44","f",79,27534,2.86917992300429,"Fédération Française de basketball",109
105,"44109","NANTES","10_14","h",407,6932,58.7132140796307,"Fédération Française de basketball",110
105,"44109","NANTES","30_44","all",300,56868,5.27537455159316,"Fédération Française de basketball",111
105,"44109","NANTES","20_29","h",322,30378,10.5997761537955,"Fédération Française de basketball",112
105,"44109","NANTES","30_44","h",221,29334,7.53391968364355,"Fédération Française de basketball",113
105,"44109","NANTES","60_74","all",36,29235,1.23140071831709,"Fédération Française de basketball",114
105,"44109","NANTES","15_19","h",230,10134,22.6958752713637,"Fédération Française de basketball",115
105,"44109","NANTES","5_9","all",332,14424,23.0171935662784,"Fédération Française de basketball",116
